block_type	mask_name	warm_first	cycle_index	onset_latency_s	mean_ramp_rate	std_ramp_rate	mean_warming_rate	mean_cooling_rate	warming_cooling_diff	mean_temp_error	max_temp_error	n_ramp_flags	n_samples
NonTGI	P1_W	1	0	1.2010	0.9920	0.1968	0.9911	0.9943	-0.0032	0.2509	0.6100	702	799
NonTGI	P1_W	1	1	1.3002	0.9957	0.2294	0.9901	1.0013	-0.0112	0.2666	0.6500	704	799
NonTGI	P1_W	1	2	nan	0.9978	0.2319	1.0071	0.9888	0.0183	0.2691	0.6600	703	799
NonTGI	P1_W	1	3	1.3001	1.0000	0.2699	0.9973	1.0028	-0.0056	0.2681	0.7300	701	799
NonTGI	P1_W	1	4	nan	1.0048	0.2589	1.0100	0.9999	0.0101	0.2680	0.6600	696	799
NonTGI	P1_W	1	5	nan	0.9970	0.2524	1.0086	0.9859	0.0227	0.2688	0.6600	703	799
NonTGI	P1_W	1	6	nan	0.9946	0.2446	0.9888	1.0004	-0.0115	0.2700	0.6600	706	799
NonTGI	P1_W	1	7	nan	0.9974	0.2173	1.0074	0.9891	0.0183	0.2701	0.7000	703	799
NonTGI	P1_W	1	8	nan	0.9973	0.2474	0.9943	1.0006	-0.0063	0.3001	0.6600	351	399
